Screen Name,Date,Tweet Text,Compound Score,Postive Score,Neutral Score,Negative Score,Tweet Number
CBS,Tue Nov 05 01:37:52 +0000 2019,@sean3528 Maybe they are. #bobheartsabishola https://t.co/OTcQNUbKKH,0.0,0.0,1.0,0.0,17
CBS,Tue Nov 05 01:37:01 +0000 2019,@happymimi13 We ❤️ that they have Abishola's back. #bobheartsabishola https://t.co/tK4Tjf05Qt,0.0,0.0,1.0,0.0,18
CBS,Tue Nov 05 01:35:49 +0000 2019,@rockster38181 We ❤️ that. #bobheartsabishola https://t.co/SoahXJjFYy,0.0,0.0,1.0,0.0,19
CBS,Tue Nov 05 01:34:13 +0000 2019,@DelightfulDame We told you. #bobheartsabishola https://t.co/CIMOZYwj8s,0.0,0.0,1.0,0.0,20
CBS,Tue Nov 05 01:33:06 +0000 2019,@AnneLaBarbera The book can't help with everything. #bobheartsabishola https://t.co/qV5DXTILE3,-0.309,0.0,0.78,0.22,21
CBS,Tue Nov 05 01:31:15 +0000 2019,@SunshineSaver Auntie will be so proud. #bobheartsabishola https://t.co/iFKBslIYTx,0.611,0.363,0.637,0.0,22
CBS,Tue Nov 05 01:30:00 +0000 2019,Show some ❤️. An all-new #BobHeartsAbishola starts NOW. https://t.co/bfPWw4HJF9,0.0,0.0,1.0,0.0,23
CBS,Tue Nov 05 00:38:52 +0000 2019,RT @TheNeighborhood: Say 'I do' to tonight's all-new episode of #TheNeighborhood at 8/7c on @CBS and @CBSAllAccess: https://t.co/zuE1XjKVL0…,0.0,0.0,1.0,0.0,24
CBS,Mon Nov 04 23:30:00 +0000 2019,#TheUnicorn's @iamRubyJay and @itsmakenziemoss share a sisterly bond both on and off screen. Enjoy this behind-the-… https://t.co/NWhs96Bczj,0.66,0.278,0.722,0.0,25
CBS,Mon Nov 04 21:00:00 +0000 2019,"Lola's mother, Roxy, drops by the courtroom. Watch @AllRiseCBS Mondays at 9/8c on CBS. https://t.co/0BuFYd6Xps",0.0,0.0,1.0,0.0,26
CBS,Mon Nov 04 20:01:59 +0000 2019,"RT @AllRiseCBS: Attention #AllRise fans: Let's make things Twitter official! You heard @SimoneMissick, follow us and live-tweet along TONIG…",0.0,0.0,1.0,0.0,27
CBS,Mon Nov 04 19:09:16 +0000 2019,"'Tis the season to celebrate with CBS. From Rudolph and Frosty to #Home4Holidays and #ILoveLucy and MORE, see when… https://t.co/rmyoNLtHqP",0.572,0.163,0.837,0.0,28
CBS,Mon Nov 04 17:04:52 +0000 2019,"Kick off the holiday season with The #Thanksgiving Day Parade, hosted by @KevinFrazier &amp; @KeltieKnight with… https://t.co/yif2As00ld",0.402,0.144,0.856,0.0,29
CBS,Mon Nov 04 00:41:32 +0000 2019,Due to #NFL overrun #CBS Sunday programs delayed ONLY in EAST/CENTRAL Time Zones. New start times: #60Minutes 7:37/… https://t.co/y4zsZHnriN,-0.226,0.0,0.905,0.095,30
CBS,Sun Nov 03 18:00:00 +0000 2019,"After setting their clocks back an hour for #DaylightSavingTime, the cast of the @YandR_CBS is feeling like the you… https://t.co/68MXzF8NVT",0.459,0.182,0.818,0.0,31
CBS,Sun Nov 03 14:29:00 +0000 2019,Get ready for Week 9 of the NFL on CBS. Check out the schedule to watch and stream your local games live today acro… https://t.co/NsBRYJNyHz,0.361,0.098,0.902,0.0,32
CBS,Sun Nov 03 03:34:15 +0000 2019,RT @survivorcbs: Our hearts go out to Rudy's family and friends. He will be greatly missed. 💔 https://t.co/yRMMFL9em6,-0.416,0.124,0.641,0.235,33
